step 13140 	 return [0.00354817 0.00254869 0.00124403], ([4.5171542e-05 2.5106495e-04 8.7293614e-05]) 	 loss 3.113E-02 	 horizons 9.0
step 13230 	 return [0.00368369 0.00330189 0.00098215], ([4.6566129e-10 2.3283064e-10 1.1641532e-10]) 	 loss 1.759E-02 	 horizons 9.0
step 13320 	 return [0.00353312 0.002465   0.00127313], ([2.3283064e-10 0.0000000e+00 1.1641532e-10]) 	 loss 6.830E-03 	 horizons 9.0
step 13410 	 return [0.         0.00497888 0.00542805], ([0. 0. 0.]) 	 loss 3.948E-02 	 horizons 9.0
step 13500 	 return [0.00365357 0.00313451 0.00104035], ([6.0228729e-05 3.3475328e-04 1.1639147e-04]) 	 loss 2.240E-02 	 horizons 9.0
step 13590 	 return [0.00278807 0.00380721 0.00099545], ([9.4753486e-06 2.8502528e-04 1.7693493e-06]) 	 loss 2.449E-02 	 horizons 9.0
step 13680 	 return [0.00288808 0.0034425  0.00099217], ([2.6520342e-04 4.6871603e-05 3.3377087e-06]) 	 loss 2.067E-02 	 horizons 9.0
step 13770 	 return [0.00365357 0.00313451 0.00104035], ([6.0228729e-05 3.3475328e-04 1.1639147e-04]) 	 loss 1.817E-02 	 horizons 9.0
step 13860 	 return [0.00350688 0.00333313 0.00098438], ([3.5360456e-04 6.2495470e-05 4.4502785e-06]) 	 loss 2.928E-02 	 horizons 9.0
step 13950 	 return [0.00427554 0.00232077 0.00119885], ([0.0000000e+00 2.3283064e-10 1.1641532e-10]) 	 loss 1.449E-02 	 horizons 9.0
step 14040 	 return [0.00278033 0.00403993 0.00099689], ([2.3283064e-10 4.6566129e-10 0.0000000e+00]) 	 loss 2.022E-02 	 horizons 9.0
step 14130 	 return [0.00278033 0.00403993 0.00099689], ([2.3283064e-10 4.6566129e-10 0.0000000e+00]) 	 loss 1.407E-02 	 horizons 9.0
step 14220 	 return [0.00302344 0.00338367 0.00097919], ([3.5816213e-04 1.3419824e-04 3.5112949e-05]) 	 loss 2.255E-02 	 horizons 9.0
step 14310 	 return [0.00419662 0.00231749 0.00119752], ([2.2455561e-04 6.6048324e-06 3.5014552e-06]) 	 loss 2.586E-02 	 horizons 9.0
step 14400 	 return [0.00375892 0.00328581 0.00097655], ([2.2568998e-04 4.8240512e-05 1.6799375e-05]) 	 loss 2.132E-02 	 horizons 9.0
step 14490 	 return [0.00279774 0.0035163  0.00099364], ([5.8024420e-06 1.7454162e-04 1.0835007e-06]) 	 loss 3.677E-02 	 horizons 9.0
step 14580 	 return [0.         0.00490101 0.00551559], ([0.         0.00023362 0.00026263]) 	 loss 1.514E-02 	 horizons 9.0
step 14670 	 return [0.00365352 0.00269999 0.00118024], ([0.0002675  0.00036134 0.00014263]) 	 loss 1.564E-02 	 horizons 9.0
step 14760 	 return [0.00278033 0.00403993 0.00099689], ([2.3283064e-10 4.6566129e-10 0.0000000e+00]) 	 loss 1.720E-02 	 horizons 9.0
step 14850 	 return [0.0036672  0.00335992 0.00097797], ([4.9447852e-05 1.7409770e-04 1.2566078e-05]) 	 loss 1.747E-02 	 horizons 9.0
