step 10800 	 return [0.00363912 0.00519488 0.00107122 0.00103886 0.        ], ([0.00013331 0.00096927 0.00033198 0.00031896 0.        ]) 	 loss 7.858E-02 	 horizons 9.0
step 10890 	 return [0.         0.         0.00267102 0.00284996 0.01347823], ([0.         0.         0.00097404 0.00077644 0.00061895]) 	 loss 1.019E-01 	 horizons 9.0
step 10980 	 return [0.00353355 0.00563227 0.00115729 0.00081858 0.        ], ([0.00020285 0.00053722 0.0002129  0.00039586 0.        ]) 	 loss 1.040E-01 	 horizons 9.0
step 11070 	 return [0.        0.        0.0036623 0.0018626 0.0132939], ([0.         0.         0.00048244 0.00071509 0.00077467]) 	 loss 1.110E-01 	 horizons 9.0
step 11160 	 return [0.         0.         0.00814439 0.00384436 0.00432127], ([0.         0.         0.00168038 0.00096932 0.0017326 ]) 	 loss 1.064E-01 	 horizons 9.0
step 11250 	 return [0.00090619 0.00819112 0.00152879 0.00055934 0.        ], ([0.00116327 0.00127708 0.00111367 0.00025191 0.        ]) 	 loss 1.096E-01 	 horizons 9.0
step 11340 	 return [0.         0.00902138 0.00469694 0.00096213 0.        ], ([0.         0.00070236 0.00081173 0.00068297 0.        ]) 	 loss 1.464E-01 	 horizons 9.0
step 11430 	 return [0.         0.00913694 0.00333911 0.00202597 0.        ], ([0.         0.00054835 0.00100312 0.00040535 0.        ]) 	 loss 1.137E-01 	 horizons 9.0
step 11520 	 return [0.00342062 0.00541566 0.00243993 0.00075908 0.        ], ([0.00046048 0.00043553 0.00051819 0.00034788 0.        ]) 	 loss 9.235E-02 	 horizons 9.0
step 11610 	 return [0.         0.         0.00608636 0.00503153 0.00644326], ([0.000000e+00 0.000000e+00 4.656613e-10 4.656613e-10 4.656613e-10]) 	 loss 9.097E-02 	 horizons 9.0
step 11700 	 return [0.00282042 0.00663386 0.00257841 0.00217751 0.        ], ([2.3959666e-04 5.0167774e-04 3.8060371e-05 4.5667330e-05 0.0000000e+00]) 	 loss 8.755E-02 	 horizons 9.0
step 11790 	 return [0.         0.         0.00379174 0.00221602 0.01295299], ([0.         0.         0.00060791 0.00081637 0.00120282]) 	 loss 8.887E-02 	 horizons 9.0
step 11880 	 return [0.         0.00809803 0.00597838 0.00207288 0.        ], ([0.0000000e+00 6.7349896e-04 3.9614455e-04 8.6104497e-05 0.0000000e+00]) 	 loss 1.366E-01 	 horizons 9.0
step 11970 	 return [0.         0.         0.00458068 0.00442975 0.00970473], ([0.         0.         0.00047648 0.00099396 0.00195627]) 	 loss 1.024E-01 	 horizons 9.0
step 12060 	 return [0.         0.00835256 0.00471324 0.00220301 0.        ], ([0.0000000e+00 3.3709643e-04 7.9469167e-04 6.3298998e-05 0.0000000e+00]) 	 loss 9.427E-02 	 horizons 9.0
step 12150 	 return [0.         0.         0.0061364  0.00508771 0.00726114], ([0.0000000e+00 0.0000000e+00 9.6452168e-05 9.1116485e-04 1.4605355e-03]) 	 loss 7.424E-02 	 horizons 9.0
step 12240 	 return [0.00368858 0.0043683  0.00120722 0.00102625 0.        ], ([2.6213596e-04 6.8086279e-05 2.4274245e-04 2.0583421e-04 0.0000000e+00]) 	 loss 9.914E-02 	 horizons 9.0
step 12330 	 return [0.00340693 0.00572342 0.00118338 0.00118895 0.        ], ([0.00026216 0.00054792 0.00030928 0.00045961 0.        ]) 	 loss 7.981E-02 	 horizons 9.0
step 12420 	 return [0.         0.         0.0036627  0.00174579 0.01334494], ([0.         0.         0.0004831  0.00036587 0.0006344 ]) 	 loss 8.392E-02 	 horizons 9.0
step 12510 	 return [0.00426631 0.00450741 0.00056775 0.00081513 0.        ], ([0.00022218 0.00034023 0.00016896 0.00019362 0.        ]) 	 loss 9.555E-02 	 horizons 9.0
step 12600 	 return [0.         0.         0.00603581 0.00403541 0.00783584], ([0.0000000e+00 0.0000000e+00 5.9176757e-05 9.0181612e-04 4.2357325e-04]) 	 loss 9.358E-02 	 horizons 9.0
step 12690 	 return [0.         0.         0.00606523 0.00323083 0.00967469], ([0.0000000e+00 0.0000000e+00 9.6821175e-05 1.7943431e-03 2.3463389e-03]) 	 loss 9.021E-02 	 horizons 9.0
step 12780 	 return [0.00397744 0.0040963  0.00108681 0.0007085  0.        ], ([0.00031751 0.0005278  0.00021993 0.00028534 0.        ]) 	 loss 8.846E-02 	 horizons 9.0
step 12870 	 return [0.00298733 0.00638273 0.00258686 0.00201483 0.        ], ([3.6445371e-04 6.4408255e-04 5.2637250e-05 4.7473260e-04 0.0000000e+00]) 	 loss 8.274E-02 	 horizons 9.0
step 12960 	 return [0.00088999 0.00851549 0.0027143  0.00203204 0.        ], ([0.00097932 0.00072308 0.00021173 0.00036372 0.        ]) 	 loss 7.411E-02 	 horizons 9.0
step 13050 	 return [0.00439488 0.00387571 0.00059052 0.00065849 0.        ], ([4.85195851e-05 5.48533746e-04 2.43250601e-04 1.14807866e-04
 0.00000000e+00]) 	 loss 7.929E-02 	 horizons 9.0
step 13140 	 return [0.         0.00675873 0.0094752  0.00068776 0.        ], ([0.0000000e+00 9.6174655e-05 2.2908209e-05 6.2276376e-07 0.0000000e+00]) 	 loss 7.450E-02 	 horizons 9.0
step 13230 	 return [0.0036554  0.0061522  0.00093777 0.00082368 0.        ], ([8.187181e-06 3.654113e-04 2.755634e-04 3.866277e-04 0.000000e+00]) 	 loss 1.008E-01 	 horizons 9.0
step 13320 	 return [0.         0.00615258 0.00950646 0.00100135 0.        ], ([0.         0.00205147 0.00064643 0.00063287 0.        ]) 	 loss 9.855E-02 	 horizons 9.0
step 13410 	 return [0.0024417  0.00772251 0.00034573 0.00017163 0.        ], ([0. 0. 0. 0. 0.]) 	 loss 8.288E-02 	 horizons 9.0
step 13500 	 return [0.00365411 0.00608817 0.0009967  0.0007392  0.        ], ([8.1099934e-06 3.5557238e-04 2.5345728e-04 3.5248126e-04 0.0000000e+00]) 	 loss 6.454E-02 	 horizons 9.0
