step 15750 	 return [0.         0.00497888 0.00542805], ([0. 0. 0.]) 	 loss 3.471E-02 	 horizons 9.0
step 15840 	 return [0.         0.00369427 0.00623038], ([0.000000e+00 4.656613e-10 4.656613e-10]) 	 loss 4.288E-02 	 horizons 9.0
step 15930 	 return [0.00405984 0.00322148 0.00095415], ([3.7615001e-04 8.0400852e-05 2.7998964e-05]) 	 loss 3.397E-02 	 horizons 9.0
step 16020 	 return [0.00436076 0.00315716 0.00093176], ([2.2569002e-04 4.8240512e-05 1.6799375e-05]) 	 loss 2.559E-02 	 horizons 9.0
step 16110 	 return [0.         0.00369427 0.00623038], ([0.000000e+00 4.656613e-10 4.656613e-10]) 	 loss 3.079E-02 	 horizons 9.0
step 16200 	 return [0.00368369 0.00330189 0.00098215], ([4.6566129e-10 2.3283064e-10 1.1641532e-10]) 	 loss 2.728E-02 	 horizons 9.0
step 16290 	 return [0.00428634 0.00319422 0.00084474], ([3.0133632e-04 8.2145089e-05 2.8244485e-04]) 	 loss 3.323E-02 	 horizons 9.0
step 16380 	 return [0.00436076 0.00315716 0.00093176], ([2.2569000e-04 4.8240508e-05 1.6799377e-05]) 	 loss 4.971E-02 	 horizons 9.0
step 16470 	 return [0.00341071 0.00351228 0.00098486], ([4.1697189e-04 3.2137736e-04 4.1326184e-06]) 	 loss 5.198E-02 	 horizons 9.0
step 16560 	 return [0.         0.00497888 0.00542805], ([0. 0. 0.]) 	 loss 4.296E-02 	 horizons 9.0
step 16650 	 return [0.         0.00497888 0.00542805], ([0. 0. 0.]) 	 loss 3.255E-02 	 horizons 9.0
step 16740 	 return [0.00368369 0.00330189 0.00098215], ([4.6566129e-10 2.3283064e-10 1.1641532e-10]) 	 loss 2.544E-02 	 horizons 9.0
step 16830 	 return [0.         0.00369427 0.00623038], ([0.000000e+00 4.656613e-10 4.656613e-10]) 	 loss 2.961E-02 	 horizons 9.0
