step 11250 	 return [0.00022518 0.00803979 0.00260128 0.00220535 0.        ], ([6.7554659e-04 1.7625045e-04 2.7022359e-06 3.2987275e-06 0.0000000e+00]) 	 loss 4.159E-03 	 horizons 9.0
step 11340 	 return [0.00234257 0.00741023 0.00259385 0.00219635 0.        ], ([1.8150275e-04 2.6850851e-04 3.2363457e-07 3.6889688e-07 0.0000000e+00]) 	 loss 4.874E-03 	 horizons 9.0
step 11430 	 return [0.0024787  0.00720885 0.00259361 0.00219607 0.        ], ([2.2687844e-04 3.3563562e-04 4.0454327e-07 4.6112112e-07 0.0000000e+00]) 	 loss 4.217E-03 	 horizons 9.0
step 11520 	 return [0.         0.         0.0061852  0.00768153 0.00596812], ([0.000000e+00 0.000000e+00 4.656613e-10 0.000000e+00 0.000000e+00]) 	 loss 4.240E-03 	 horizons 9.0
step 11610 	 return [0.         0.         0.0061852  0.00768153 0.00596812], ([0.000000e+00 0.000000e+00 4.656613e-10 0.000000e+00 0.000000e+00]) 	 loss 3.453E-03 	 horizons 9.0
step 11700 	 return [0.         0.         0.0061852  0.00768153 0.00596812], ([0.000000e+00 0.000000e+00 4.656613e-10 0.000000e+00 0.000000e+00]) 	 loss 2.977E-03 	 horizons 9.0
step 11790 	 return [0.00270558 0.00687322 0.0025932  0.00219561 0.        ], ([2.3283064e-10 0.0000000e+00 2.3283064e-10 0.0000000e+00 0.0000000e+00]) 	 loss 2.810E-03 	 horizons 9.0
step 11880 	 return [0.00022518 0.00801909 0.00260088 0.00220485 0.        ], ([6.7554659e-04 1.7801394e-04 2.7825445e-06 3.4065179e-06 0.0000000e+00]) 	 loss 3.280E-03 	 horizons 9.0
step 11970 	 return [0.         0.         0.0061852  0.00768153 0.00596812], ([0.000000e+00 0.000000e+00 4.656613e-10 0.000000e+00 0.000000e+00]) 	 loss 4.004E-03 	 horizons 9.0
step 12060 	 return [0.00225182 0.00754449 0.00259401 0.00219653 0.        ], ([2.3283064e-10 0.0000000e+00 2.3283064e-10 0.0000000e+00 0.0000000e+00]) 	 loss 3.000E-03 	 horizons 9.0
