step 21848 	 return [0.00457916 0.01087194 0.00987199 0.00511099 0.00787069], ([0.00079953 0.00051538 0.0018196  0.00077003 0.00132076]) 	 loss 1.629E-01 	 horizons 19.0
step 22038 	 return [0.00480304 0.00939653 0.0102269  0.0058513  0.00820025], ([0.00060134 0.0008355  0.00186747 0.00110542 0.00157602]) 	 loss 1.473E-01 	 horizons 19.0
step 22228 	 return [0.00477105 0.01001285 0.01013402 0.00550345 0.00878185], ([0.00059035 0.00079585 0.0013192  0.00064756 0.00033384]) 	 loss 1.630E-01 	 horizons 19.0
step 22418 	 return [0.00498613 0.00634789 0.01026022 0.00858164 0.01007674], ([4.1788153e-05 8.7987253e-04 2.3735219e-03 1.2412595e-03 1.4613590e-03]) 	 loss 1.493E-01 	 horizons 19.0
step 22608 	 return [0.00490996 0.00951131 0.01033937 0.0056719  0.00797077], ([0.00077397 0.00087178 0.00062253 0.00073764 0.00171226]) 	 loss 1.423E-01 	 horizons 19.0
step 22798 	 return [0.00493398 0.0088309  0.01168959 0.00583346 0.00876451], ([4.4458597e-05 6.7441055e-04 1.3640826e-03 1.1510388e-03 1.7785097e-03]) 	 loss 1.188E-01 	 horizons 19.0
step 22988 	 return [0.0049721  0.00590158 0.0116435  0.00803955 0.00947718], ([5.1885872e-05 7.9325185e-04 1.4506747e-03 9.4025867e-04 2.9060099e-04]) 	 loss 1.278E-01 	 horizons 19.0
step 23178 	 return [0.0049722  0.00713748 0.01078302 0.00722927 0.00880058], ([4.2674474e-05 8.0654153e-04 1.0412202e-03 1.1173865e-03 3.2805325e-04]) 	 loss 1.204E-01 	 horizons 19.0
step 23368 	 return [0.00497297 0.0068933  0.01106403 0.00766736 0.00876318], ([5.2042586e-05 9.3095936e-04 1.4419401e-03 1.4282560e-03 1.0297002e-03]) 	 loss 1.233E-01 	 horizons 19.0
step 23558 	 return [0.00497258 0.00959366 0.0098031  0.00533391 0.00883147], ([4.4056022e-05 3.2908589e-04 1.2905392e-03 5.1894192e-05 4.2219824e-04]) 	 loss 1.593E-01 	 horizons 19.0
step 23748 	 return [0.00501333 0.00717806 0.01059745 0.00736004 0.00840846], ([5.4157972e-05 5.8484270e-04 9.9246448e-04 1.2247291e-03 1.3991445e-03]) 	 loss 1.288E-01 	 horizons 19.0
step 23938 	 return [0.00481767 0.00735728 0.00947934 0.00858603 0.0093794 ], ([0.00059514 0.00073286 0.00148162 0.00145059 0.00090989]) 	 loss 1.493E-01 	 horizons 19.0
step 24128 	 return [0.00478502 0.00956598 0.01098717 0.00536097 0.00887367], ([5.9854431e-04 6.9172907e-04 1.0224249e-03 3.6689777e-05 3.8053910e-04]) 	 loss 1.434E-01 	 horizons 19.0
step 24318 	 return [0.00476396 0.00738194 0.01094909 0.00745266 0.00836862], ([0.00057471 0.00077154 0.00091679 0.00136047 0.00138365]) 	 loss 1.327E-01 	 horizons 19.0
step 24508 	 return [0.00498593 0.00587615 0.01115065 0.00892423 0.01002673], ([4.7771657e-05 5.3264096e-04 1.4563118e-03 1.2096147e-03 4.6319893e-04]) 	 loss 1.426E-01 	 horizons 19.0
step 24698 	 return [0.00498888 0.00723222 0.01039406 0.0073552  0.00843396], ([5.6446162e-05 8.5299124e-04 1.0227755e-03 1.7228372e-03 1.5761814e-03]) 	 loss 1.236E-01 	 horizons 19.0
step 24888 	 return [0.00499943 0.00648593 0.01085978 0.00868819 0.00933191], ([6.3256208e-05 9.6691324e-04 1.5207607e-03 1.1209884e-03 3.1878366e-04]) 	 loss 1.648E-01 	 horizons 19.0
step 25078 	 return [0.00501703 0.00680171 0.01046597 0.00881076 0.00963791], ([5.0248535e-05 7.8752165e-04 1.5045771e-03 1.0944043e-03 4.2595738e-04]) 	 loss 1.196E-01 	 horizons 19.0
step 25268 	 return [0.00477518 0.00704393 0.0112489  0.00703207 0.0092699 ], ([0.00059182 0.00095671 0.00118167 0.00074418 0.0007654 ]) 	 loss 1.244E-01 	 horizons 19.0
step 25458 	 return [0.00497061 0.00887902 0.01173133 0.00580727 0.00879046], ([5.4997417e-05 6.5929239e-04 1.3289625e-03 1.1591751e-03 1.7595760e-03]) 	 loss 1.234E-01 	 horizons 19.0
step 25648 	 return [0.00499298 0.00667762 0.01091655 0.00814616 0.00956944], ([6.1063824e-05 9.1750844e-04 1.5829459e-03 1.3278088e-03 7.1737729e-04]) 	 loss 1.042E-01 	 horizons 19.0
step 25838 	 return [0.00500566 0.00627707 0.01062299 0.00868783 0.01000079], ([6.1148559e-05 7.8001205e-04 1.6694925e-03 1.1402802e-03 4.8818751e-04]) 	 loss 1.138E-01 	 horizons 19.0
step 26028 	 return [0.00485066 0.00696371 0.00978083 0.0087637  0.01028584], ([0.00050641 0.00087181 0.00115034 0.00144144 0.00073528]) 	 loss 1.152E-01 	 horizons 19.0
step 26218 	 return [0.00500196 0.00857149 0.01115531 0.00577546 0.00910262], ([3.1630239e-05 7.6725514e-04 9.6219603e-04 7.5454474e-04 3.6135665e-04]) 	 loss 1.135E-01 	 horizons 19.0
step 26408 	 return [0.00501835 0.00678093 0.00978463 0.00905929 0.00972154], ([5.0274535e-05 8.6319353e-04 1.9169673e-03 1.0480596e-03 7.3557207e-04]) 	 loss 9.564E-02 	 horizons 19.0
